codigo;nome_cliente;telefones;loja;data_cadastro;data_aniversario;data_nascimento;ativo
10464;PATRICIA SILVA NASCIMENTO;47934069613;04 - Porto Leste Aux;19/03/2021;;;nao
10465;GABRIEL SILVA NASCIMENTO;47919548051;01 - Aurora Prime;12/07/2020;01/01;01/01/2007;sim
10466;HELENA GOMES SANTOS;21916075950;06 - Campo Belo Centro;19/09/2019;03/05;;sim
10467;THIAGO CARVALHO ROCHA;85923360394;12 - Bairro Alto Prime;15/05/2024;;;sim
10468;RAFAEL CARVALHO MELO;11926604067;07 - Serra Alta Porto;28/07/2019;;;sim
10469;CARLOS RIBEIRO DIAS;85947289889;10 - Marina Brands;06/12/2023;26/01;26/01/1955;sim
10470;BRUNA MELO SOUZA;62969606599;02 - Vale Verde Brands;27/07/2023;02/10;;sim
10471;MARCOS FERREIRA TEIXEIRA;71981224718;14 - Baixada Outlet;27/07/2022;21/05;21/05/1959;sim
10472;FELIPE SILVA SOUZA;62937300435;13 - Rio Claro Distrito;08/04/2018;23/08;;sim
10473;CARLOS DIAS LIMA;85988700659;06 - Campo Belo Centro;18/08/2023;03/09;03/09/1996;sim
10474;PEDRO NASCIMENTO MELO;61952176152;10 - Marina Brands;15/09/2022;09/07;;sim
10475;PATRICIA SANTOS PEREIRA;31944499597;10 - Marina Brands;21/05/2026;22/12;;sim
10476;ALINE FERREIRA CASTRO;48984027471;03 - Monte Azul Brands;23/06/2020;20/11;20/11/1963;sim
10477;BEATRIZ SILVA BARBOSA;61939129909;09 - Capital Distrito;12/02/2024;02/05;02/05/2000;nao
10478;BEATRIZ LIMA CARDOSO;21993051268;08 - Riacho Outlet;12/10/2025;05/07;05/07/1992;sim
10479;DANIELA LIMA MELO;11980323080;01 - Aurora Prime;03/11/2025;;;sim
10480;PAULO CARDOSO ROCHA;51954354848;10 - Marina Brands;09/05/2021;06/08;;sim
10481;JESSICA CARDOSO ROCHA;41961635663;14 - Baixada Outlet;19/10/2024;25/07;;sim
10482;PAULO ALMEIDA RIBEIRO;47997393958;12 - Bairro Alto Prime;16/02/2021;28/09;28/09/1956;sim
10483;DIEGO ALVES SILVA;48934224673;08 - Riacho Outlet;08/07/2024;21/01;21/01/1957;sim
10484;PAULO ROCHA GOMES;85965300949;10 - Marina Brands;20/09/2018;;;nao
10485;RAFAEL MARTINS NASCIMENTO;71925822852;02 - Vale Verde Brands;09/06/2026;;;sim
10486;PAULO MELO NASCIMENTO;31913029605;09 - Capital Distrito;21/08/2026;11/04;;sim
10487;JULIA CORREIA GOMES;51956959324;05 - Porto Sereno Praia;23/08/2020;;;sim
10488;DIEGO CAMPOS ROCHA;21989814177;01 - Aurora Prime;21/01/2026;10/02;10/02/1993;sim
10489;CARLOS LIMA SANTOS;61947249844;06 - Campo Belo Centro;15/10/2021;10/07;10/07/1996;sim
10490;FELIPE PEREIRA ROCHA;41936441592;05 - Porto Sereno Praia;10/06/2023;08/05;;sim
10491;FERNANDA OLIVEIRA OLIVEIRA;85960532719;06 - Campo Belo Centro;03/03/2020;25/07;;sim
10492;JESSICA RIBEIRO CARVALHO;;31923357078;08/06/2018;;;nao
10493;RODRIGO NASCIMENTO CARDOSO;71916871757;08 - Riacho Outlet;02/12/2022;20/08;20/08/1964;sim
10494;GUSTAVO OLIVEIRA CARDOSO;48951530447;12 - Bairro Alto Prime;04/12/2024;;;sim
10495;RODRIGO ALVES TEIXEIRA;85958147898;03 - Monte Azul Brands;05/12/2019;;;sim
10496;SOFIA ALVES DIAS;71981908460;12 - Bairro Alto Prime;06/11/2022;;;nao
10497;BEATRIZ ROCHA GOMES;21956514798;09 - Capital Distrito;12/04/2021;06/06;06/06/1995;nao
10498;CAMILA CAMPOS ALVES;11916265397;12 - Bairro Alto Prime;11/04/2019;02/02;02/02/2001;sim
10499;CAROLINE SILVA RIBEIRO;21971558691;03 - Monte Azul Brands;05/06/2025;;;sim
10500;JOAO ROCHA LIMA;62963879083;09 - Capital Distrito;09/06/2021;16/07;16/07/1959;sim
10501;JESSICA MARTINS GOMES;81927839890;01 - Aurora Prime;25/01/2022;22/04;22/04/1957;sim
10502;RAFAEL OLIVEIRA CORREIA;21978236631;10 - Marina Brands;21/05/2018;22/10;22/10/1972;nao
10503;GABRIEL PEREIRA SILVA;71968605949;08 - Riacho Outlet;02/06/2026;;;sim
10504;ANA RODRIGUES ROCHA;41993942406;04 - Porto Leste Aux;16/04/2020;21/08;;sim
10505;DANIELA CARDOSO DIAS;81979198942;10 - Marina Brands;28/01/2021;09/01;;sim
10506;RAFAEL ARAUJO SILVA;62987973563;09 - Capital Distrito;10/10/2022;27/11;27/11/1970;sim
10507;MARCOS ARAUJO PEREIRA;48945118996;02 - Vale Verde Brands;27/07/2026;24/09;;sim
10508;DIEGO CARVALHO MELO;81952575655;06 - Campo Belo Centro;21/10/2023;18/11;18/11/1981;sim
10509;MARIA CARVALHO SOUZA;31911607325;11 - Cascata Distrito;18/06/2018;;;sim
10510;SOFIA TEIXEIRA NASCIMENTO;31970613313;06 - Campo Belo Centro;09/06/2024;10/11;10/11/1972;sim
10511;CAROLINE NASCIMENTO PEREIRA;47993887937;10 - Marina Brands;11/06/2020;25/04;;nao
10512;DIEGO SANTOS GOMES;21979858421;02 - Vale Verde Brands;23/09/2020;11/08;11/08/1979;sim
10513;FELIPE BARBOSA NASCIMENTO;61925755422;05 - Porto Sereno Praia;05/07/2024;09/09;;sim
10514;JOAO NASCIMENTO CORREIA;81947915892;11 - Cascata Distrito;10/08/2026;;;sim
10515;LORENA ARAUJO FERREIRA;51915529706;02 - Vale Verde Brands;20/08/2022;06/12;;sim
10516;FELIPE CORREIA OLIVEIRA;31992838242;09 - Capital Distrito;10/02/2019;23/07;;sim
10517;GABRIEL CARVALHO ALVES;61993094323 / 31934732608;15 - Metrô Outlet;03/01/2025;04/06;04/06/1968;sim
10518;PAULO CARDOSO LIMA;41915430085;07 - Serra Alta Porto;21/03/2023;;;sim
10519;LETICIA CORREIA RIBEIRO;48933480473;07 - Serra Alta Porto;10/09/2026;02/01;02/01/1999;sim
10520;CARLOS SANTOS SOUZA;71966963031;02 - Vale Verde Brands;15/02/2023;04/05;;sim
10521;FERNANDA OLIVEIRA SILVA;48994520242;04 - Porto Leste Aux;28/12/2021;09/03;09/03/1970;sim
10522;MARIA SILVA ALMEIDA;48971176487;12 - Bairro Alto Prime;24/12/2022;27/01;27/01/2004;sim
10523;CAMILA NASCIMENTO RIBEIRO;41954619679;07 - Serra Alta Porto;09/09/2026;;;sim
10524;GABRIEL GOMES TEIXEIRA;11921474086;12 - Bairro Alto Prime;01/04/2021;08/03;;nao
10525;RODRIGO LIMA SOUZA;11986835114;07 - Serra Alta Porto;12/11/2026;;;nao
10526;ANA NASCIMENTO MARTINS;81959150143 / 81993026109;07 - Serra Alta Porto;08/09/2020;28/04;28/04/2000;sim
10527;ROBERTA CAMPOS ALVES;11952398035;10 - Marina Brands;01/05/2026;12/07;12/07/1996;sim
10528;CAMILA CAMPOS DIAS;48960610874;01 - Aurora Prime;12/03/2025;05/09;05/09/1991;sim
10529;GUSTAVO PEREIRA SANTOS;51980234366;14 - Baixada Outlet;02/10/2025;23/01;;sim
10530;PEDRO OLIVEIRA RODRIGUES;62946012591;04 - Porto Leste Aux;25/04/2018;09/12;;sim
10531;RAFAEL FERREIRA RODRIGUES;81985728957;02 - Vale Verde Brands;06/11/2018;15/02;;sim
10532;PAULO RODRIGUES PEREIRA;51971369444;10 - Marina Brands;01/07/2025;16/09;;nao
10533;ALINE RIBEIRO SANTOS;31939412761;10 - Marina Brands;27/01/2022;;;sim
10534;VINICIUS GOMES RIBEIRO;48920475182;04 - Porto Leste Aux;16/08/2025;17/11;17/11/1991;nao
10535;LARISSA SOUZA RODRIGUES;81934216994;10 - Marina Brands;17/02/2021;12/06;12/06/1985;sim
10536;PEDRO FERREIRA FERREIRA;81986653961;07 - Serra Alta Porto;21/04/2026;10/01;10/01/1961;sim
10537;LETICIA SANTOS CARDOSO;48965630693;03 - Monte Azul Brands;26/04/2022;18/11;18/11/1961;sim
10538;VITORIA CAMPOS RODRIGUES;61912388003;12 - Bairro Alto Prime;25/02/2025;19/01;19/01/2005;sim
10539;PAULO SANTOS ALMEIDA;81950333264;07 - Serra Alta Porto;11/09/2024;17/06;;sim
10540;PATRICIA LIMA ARAUJO;11931441547;03 - Monte Azul Brands;08/11/2018;24/07;;sim
10541;AMANDA BARBOSA GOMES;61977894977;10 - Marina Brands;21/06/2018;;;sim
10542;ANA CORREIA PEREIRA;11918364343;09 - Capital Distrito;26/02/2026;26/11;;sim
10543;DIEGO MARTINS FERREIRA;21973400333;02 - Vale Verde Brands;18/02/2025;22/02;;sim
10544;SOFIA CARDOSO GOMES;47922818595;10 - Marina Brands;07/12/2025;04/07;04/07/1992;nao
10545;FERNANDA GOMES GOMES;21942188676;02 - Vale Verde Brands;01/03/2024;01/12;01/12/2007;sim
10546;ANA CAMPOS TEIXEIRA;21987399888;12 - Bairro Alto Prime;13/07/2018;;;sim
10547;ROBERTA DIAS BARBOSA;47946073208;06 - Campo Belo Centro;03/09/2026;20/03;;sim
10548;VINICIUS PEREIRA CARDOSO;85926888764;08 - Riacho Outlet;15/10/2020;10/09;10/09/1955;sim
10549;CAMILA SILVA CORREIA;41917385495;08 - Riacho Outlet;11/12/2018;21/02;21/02/1980;sim
10550;MARCOS LIMA CASTRO;41946753193;08 - Riacho Outlet;05/02/2022;03/05;03/05/2000;sim
10551;GUSTAVO PEREIRA PEREIRA;51996603522;01 - Aurora Prime;01/08/2021;08/02;;sim
10552;PEDRO CORREIA LIMA;85932026770;09 - Capital Distrito;06/11/2026;18/07;18/07/1985;sim
10553;GUSTAVO DIAS NASCIMENTO;71968421253;04 - Porto Leste Aux;17/10/2020;02/06;02/06/1971;nao
10554;AMANDA TEIXEIRA LIMA;62925654054;10 - Marina Brands;22/01/2022;;;sim
10555;AMANDA CORREIA RODRIGUES;31944440109;01 - Aurora Prime;01/01/2023;20/03;20/03/1982;nao
10556;BEATRIZ ALVES CORREIA;41998235264;03 - Monte Azul Brands;12/03/2026;17/01;;sim
10557;FELIPE ROCHA ARAUJO;51993867914;07 - Serra Alta Porto;08/09/2018;26/04;26/04/1968;sim
10558;GUSTAVO ALVES SANTOS;71990013569;12 - Bairro Alto Prime;06/09/2018;;;sim
10559;ROBERTA GOMES PEREIRA;47974310966;15 - Metrô Outlet;17/06/2025;11/04;;sim
10560;THIAGO ALMEIDA PEREIRA;41963321469;01 - Aurora Prime;05/04/2019;;;sim
10561;DIEGO SOUZA ARAUJO;61956955804;12 - Bairro Alto Prime;15/07/2019;07/01;07/01/1960;sim
10562;PATRICIA CAMPOS BARBOSA;41913545391 / 71937441473;06 - Campo Belo Centro;03/12/2025;24/02;24/02/2003;sim
10563;MARCOS SOUZA NASCIMENTO;85974536160;06 - Campo Belo Centro;14/08/2021;;;nao
10564;CAROLINE CAMPOS DIAS;47928905834;10 - Marina Brands;05/01/2020;15/09;;sim
10565;LARISSA RODRIGUES CORREIA;51941245231;14 - Baixada Outlet;12/06/2022;22/07;;sim
10566;MARIA MARTINS DIAS;21970134693;05 - Porto Sereno Praia;24/01/2023;06/07;;sim
10567;CARLOS SANTOS GOMES;11935823835;06 - Campo Belo Centro;07/01/2022;14/12;14/12/1967;sim
10568;LORENA SOUZA PEREIRA;81942862006;15 - Metrô Outlet;17/08/2025;12/06;;sim
10569;PEDRO RIBEIRO RODRIGUES;71927389969;01 - Aurora Prime;24/06/2021;27/03;;sim
10570;JESSICA PEREIRA ROCHA;47923644920;08 - Riacho Outlet;21/01/2022;23/02;23/02/1975;sim
10571;LUCAS MELO RODRIGUES;41947900668;06 - Campo Belo Centro;02/07/2025;;;sim
10572;HELENA TEIXEIRA FERREIRA;48950472337;10 - Marina Brands;16/01/2018;01/08;;sim
10573;GABRIEL MARTINS OLIVEIRA;62999921867;11 - Cascata Distrito;13/08/2024;18/05;;sim
10574;ROBERTA PEREIRA RODRIGUES;85990991458;05 - Porto Sereno Praia;10/06/2023;25/01;25/01/1971;sim
10575;VITORIA CAMPOS ALVES;71949643072;09 - Capital Distrito;17/05/2026;18/10;18/10/1961;sim
10576;JESSICA SANTOS DIAS;11911471603;08 - Riacho Outlet;08/02/2026;04/03;;sim
10577;HELENA GOMES MARTINS;85915952611;05 - Porto Sereno Praia;19/12/2024;02/09;02/09/1989;sim
10578;CAMILA ALVES ALVES;61933684664;12 - Bairro Alto Prime;27/08/2022;20/01;;sim
10579;GUSTAVO TEIXEIRA CARDOSO;11933336533;02 - Vale Verde Brands;16/01/2025;09/10;;sim
10580;DANIELA OLIVEIRA LIMA;81955276278;05 - Porto Sereno Praia;20/09/2021;12/03;;sim
10581;CARLOS TEIXEIRA NASCIMENTO;11953300737;01 - Aurora Prime;15/03/2026;22/12;;nao
10582;RODRIGO CASTRO ALMEIDA;71978238120;03 - Monte Azul Brands;17/04/2019;12/03;12/03/1961;sim
10583;ANA ALMEIDA SANTOS;47961466329;05 - Porto Sereno Praia;10/12/2020;;;sim
10584;ROBERTA FERREIRA CARVALHO;21944296742;08 - Riacho Outlet;14/05/2025;18/10;18/10/1990;sim
10585;CAMILA ALVES ARAUJO;51963332392;09 - Capital Distrito;24/09/2025;02/03;02/03/1955;sim
10586;LARISSA CASTRO CARDOSO;47953991944;15 - Metrô Outlet;26/08/2026;16/02;;sim
10587;ISABELA CARVALHO MELO;41970101254;14 - Baixada Outlet;02/06/2022;02/07;02/07/1996;nao
10588;MATEUS CAMPOS FERREIRA;61974814294;14 - Baixada Outlet;21/04/2025;22/04;22/04/1963;nao
10589;ALINE MARTINS CASTRO;31964344656;15 - Metrô Outlet;08/10/2020;16/01;;sim
10590;PAULO SANTOS MARTINS;81942816149;02 - Vale Verde Brands;12/04/2024;22/07;22/07/2001;sim
10591;MARIA CARDOSO DIAS;31911949285;12 - Bairro Alto Prime;09/12/2023;15/06;;sim
10592;CAROLINE TEIXEIRA SANTOS;41921228277;03 - Monte Azul Brands;20/05/2023;27/03;27/03/1975;sim
10593;PATRICIA CAMPOS BARBOSA;62995229278;05 - Porto Sereno Praia;15/01/2025;;;sim
10594;PATRICIA ALMEIDA FERREIRA;71917613008 / 31979365301;08 - Riacho Outlet;01/08/2024;11/04;11/04/1998;sim
10595;LARISSA CARVALHO MARTINS;85990590275;07 - Serra Alta Porto;26/05/2025;23/08;;sim
10596;CAROLINE MELO SANTOS;31934136331;01 - Aurora Prime;01/04/2026;23/08;23/08/1967;sim
10597;BEATRIZ TEIXEIRA NASCIMENTO;47934624777;06 - Campo Belo Centro;04/06/2020;12/02;;sim
10598;LORENA ALMEIDA FERREIRA;41973472524;04 - Porto Leste Aux;23/08/2021;09/05;;sim
10599;PATRICIA LIMA PEREIRA;48967181200;08 - Riacho Outlet;19/11/2021;;;sim
10600;VINICIUS CAMPOS ALVES;62945034329;07 - Serra Alta Porto;22/01/2022;14/07;14/07/2006;sim
10601;BEATRIZ CARVALHO CARVALHO;21966374970;14 - Baixada Outlet;23/02/2025;22/03;22/03/1969;sim
10602;SOFIA ALMEIDA TEIXEIRA;11985854184;08 - Riacho Outlet;22/11/2025;;;nao
10603;SOFIA ALVES ALMEIDA;71976815428;06 - Campo Belo Centro;11/12/2019;12/08;;sim
10604;MATEUS LIMA DIAS;47948744557;08 - Riacho Outlet;19/07/2023;20/06;20/06/1994;sim
10605;LUCAS SANTOS PEREIRA;61945143742;08 - Riacho Outlet;08/07/2023;05/04;05/04/1965;nao
10606;RAFAEL CASTRO SOUZA;11920845762;04 - Porto Leste Aux;08/09/2021;;;sim
10607;VITORIA SILVA RODRIGUES;21968791904;08 - Riacho Outlet;14/05/2020;01/10;01/10/2005;sim
10608;FELIPE SANTOS SOUZA;62934305163;04 - Porto Leste Aux;15/10/2022;;;sim
10609;VINICIUS ROCHA FERREIRA;47910795140;08 - Riacho Outlet;27/05/2026;05/05;05/05/1966;sim
10610;JULIA RODRIGUES GOMES;85980133601;14 - Baixada Outlet;08/12/2019;27/04;27/04/1969;sim
10611;ALINE SILVA DIAS;31988614664;10 - Marina Brands;22/07/2026;20/12;;sim
10612;JOSE NASCIMENTO CARDOSO;47966773335;01 - Aurora Prime;25/06/2024;;;nao
10613;DANIELA ALVES LIMA;48972648702;07 - Serra Alta Porto;03/04/2019;;;sim
10614;AMANDA ALVES TEIXEIRA;48999474489;12 - Bairro Alto Prime;27/02/2023;23/07;23/07/1956;sim
10615;ISABELA CAMPOS CARVALHO;81947288188 / 41988732235;15 - Metrô Outlet;28/07/2020;04/08;04/08/1970;sim
10616;JULIA RODRIGUES CORREIA;51991629461;10 - Marina Brands;17/06/2020;12/03;12/03/1981;sim
10617;HELENA GOMES PEREIRA;51946816473;05 - Porto Sereno Praia;02/03/2021;;;sim
10618;JOAO CAMPOS PEREIRA;47987067896;01 - Aurora Prime;01/11/2021;;;sim
10619;THIAGO DIAS RODRIGUES;61975468114;13 - Rio Claro Distrito;02/11/2026;23/12;;sim
10620;ROBERTA ROCHA DIAS;31978854210;02 - Vale Verde Brands;18/11/2018;;;sim
10621;ALINE ALVES TEIXEIRA;71957148368;09 - Capital Distrito;25/08/2021;24/03;24/03/1972;sim
10622;LARISSA CASTRO DIAS;48956937295;04 - Porto Leste Aux;26/02/2023;16/11;;sim
10623;FERNANDA MELO CAMPOS;51967461341;12 - Bairro Alto Prime;15/06/2024;13/01;13/01/1969;nao
10624;CARLOS CASTRO ALMEIDA;48989709602;05 - Porto Sereno Praia;15/09/2021;10/10;10/10/1996;sim
10625;LORENA OLIVEIRA SOUZA;51979612496;04 - Porto Leste Aux;05/07/2021;10/03;10/03/1990;sim
10626;JULIA GOMES ALVES;47990588837;12 - Bairro Alto Prime;18/03/2019;11/02;11/02/1960;sim
10627;RAFAEL SOUZA SILVA;85976953510;10 - Marina Brands;04/03/2023;28/03;;sim
10628;LETICIA CASTRO MARTINS;11920696802 / 61968055319;12 - Bairro Alto Prime;15/02/2024;;;sim
10629;PEDRO CARDOSO CARDOSO;41942016780;06 - Campo Belo Centro;03/02/2019;13/10;13/10/1996;sim
10630;MATEUS CARDOSO MARTINS;81975998077;01 - Aurora Prime;28/08/2021;11/03;11/03/2004;sim
10631;HELENA DIAS CASTRO;61942733690;08 - Riacho Outlet;17/10/2023;02/06;;sim
10632;DIEGO GOMES LIMA;48919751015;01 - Aurora Prime;15/10/2021;;;sim
10633;DANIELA LIMA LIMA;41956292986;03 - Monte Azul Brands;24/03/2021;;;sim
10633;DANIELA LIMA LIMA;41956292986;03 - Monte Azul Brands;24/03/2021;;;sim
10634;MARCOS RIBEIRO ROCHA;48948567337;04 - Porto Leste Aux;02/08/2022;02/10;02/10/1985;sim
10635;FERNANDA FERREIRA RODRIGUES;81976952972;11 - Cascata Distrito;01/12/2018;21/11;21/11/2005;sim
10636;VINICIUS SILVA MELO;21911520476;06 - Campo Belo Centro;19/10/2023;19/07;;nao
10637;ANA LIMA MELO;61930127982;05 - Porto Sereno Praia;13/05/2026;24/12;24/12/1976;sim
10638;CAMILA CARDOSO BARBOSA;41997905212;05 - Porto Sereno Praia;01/05/2022;17/08;;nao
10639;PEDRO CAMPOS CARDOSO;41978946858;11 - Cascata Distrito;14/09/2020;;;sim
10640;AMANDA ALMEIDA CASTRO;51962492320;01 - Aurora Prime;08/02/2023;17/08;;sim
10641;VITORIA PEREIRA RIBEIRO;41946533658;02 - Vale Verde Brands;09/09/2023;13/07;13/07/1985;sim
10642;ANA ALVES FERREIRA;11998426119;06 - Campo Belo Centro;09/08/2018;20/08;20/08/1993;nao
10643;LARISSA CASTRO SILVA;85994318030;03 - Monte Azul Brands;02/11/2024;22/05;22/05/1961;sim
10644;ISABELA OLIVEIRA GOMES;11922111329;01 - Aurora Prime;10/12/2019;24/10;24/10/1977;sim
10645;GABRIEL RIBEIRO ALVES;31941430825 / 51946700667;10 - Marina Brands;03/05/2023;02/08;;sim
10646;BEATRIZ TEIXEIRA PEREIRA;48923846132;13 - Rio Claro Distrito;05/12/2025;03/12;03/12/1991;sim
10647;VITORIA GOMES GOMES;47976525316;10 - Marina Brands;12/06/2025;20/09;20/09/1972;sim
10648;MATEUS SANTOS MARTINS;51947807539 / 31956841443;02 - Vale Verde Brands;20/11/2022;24/02;24/02/2001;sim
10649;RODRIGO SILVA OLIVEIRA;81954011699;14 - Baixada Outlet;09/03/2023;08/06;08/06/1971;sim
10650;FERNANDA ARAUJO BARBOSA;11913836282;02 - Vale Verde Brands;01/02/2020;;;sim
10651;JOSE RIBEIRO CASTRO;61986803740;04 - Porto Leste Aux;04/12/2019;11/08;;sim
10652;BRUNA ROCHA ARAUJO;47927267119;09 - Capital Distrito;04/08/2025;;;nao
10653;JOAO DIAS LIMA;41914452956;10 - Marina Brands;03/07/2018;21/06;21/06/1966;sim
10654;LUCAS ARAUJO DIAS;41931526086;04 - Porto Leste Aux;21/08/2020;23/12;23/12/2001;sim
10655;LORENA RODRIGUES BARBOSA;85964986678 / 31986558141;06 - Campo Belo Centro;05/04/2025;;;sim
10656;DIEGO SILVA CAMPOS;48926788682 / 85999422588;10 - Marina Brands;15/03/2023;14/11;14/11/1992;sim
10657;FERNANDA ALVES CASTRO;21973718852;13 - Rio Claro Distrito;13/01/2024;20/06;;nao
10658;DIEGO CORREIA ARAUJO;85942611556;06 - Campo Belo Centro;26/01/2021;27/12;27/12/1974;sim
10659;DANIELA CASTRO FERREIRA;85957951599;11 - Cascata Distrito;22/04/2025;17/12;17/12/1977;sim
10660;JOAO OLIVEIRA MELO;62960736125;09 - Capital Distrito;01/05/2021;16/03;16/03/1980;nao
10661;SOFIA SANTOS PEREIRA;71931951509;02 - Vale Verde Brands;05/04/2023;24/06;24/06/1977;nao
10662;PAULO SANTOS CAMPOS;47922424644;03 - Monte Azul Brands;23/04/2020;17/07;17/07/2002;sim
10663;FELIPE DIAS CAMPOS;51945641069;02 - Vale Verde Brands;14/09/2024;24/01;24/01/1955;sim
10664;CAMILA NASCIMENTO CAMPOS;61927561923 / 71978161159;13 - Rio Claro Distrito;05/10/2024;01/03;;sim
10665;LORENA SOUZA CORREIA;48982230349;07 - Serra Alta Porto;02/06/2025;;;sim
10666;JULIA NASCIMENTO RIBEIRO;85960608931;06 - Campo Belo Centro;14/01/2018;01/04;01/04/1995;nao
10667;GUSTAVO DIAS SANTOS;48989466186;10 - Marina Brands;26/01/2018;09/02;;sim
10668;ALINE FERREIRA CARDOSO;71982241005;02 - Vale Verde Brands;09/05/2020;16/11;16/11/1977;sim
10669;VINICIUS NASCIMENTO CARVALHO;31971881797 / 11961066640;08 - Riacho Outlet;26/04/2020;27/11;27/11/1962;sim
10670;SOFIA RODRIGUES GOMES;71980936996;05 - Porto Sereno Praia;05/12/2020;10/05;10/05/1978;sim
10671;CARLOS LIMA SILVA;61912463081;15 - Metrô Outlet;14/10/2026;;;nao
10672;PATRICIA SANTOS TEIXEIRA;21996097266;06 - Campo Belo Centro;05/08/2024;06/01;;sim
10673;JULIA BARBOSA ALVES;51952382507;04 - Porto Leste Aux;08/03/2022;;;sim
10674;JESSICA RIBEIRO CAMPOS;62966429218;14 - Baixada Outlet;14/06/2022;;;nao
10675;GABRIEL SANTOS NASCIMENTO;85933329885;06 - Campo Belo Centro;16/10/2025;;;sim
10676;CAMILA OLIVEIRA CARDOSO;47973585177;11 - Cascata Distrito;19/06/2019;19/02;;nao
10677;BEATRIZ MELO ALVES;71989901014;15 - Metrô Outlet;17/01/2020;25/05;;sim
10678;LETICIA SANTOS DIAS;21942381234;06 - Campo Belo Centro;25/09/2023;18/08;18/08/1978;sim
10679;ALINE ARAUJO FERREIRA;85931468464;14 - Baixada Outlet;23/02/2024;13/09;;sim
10680;CAMILA CORREIA BARBOSA;71935901740;08 - Riacho Outlet;03/04/2020;06/05;06/05/1992;sim
10681;ROBERTA CARDOSO NASCIMENTO;21994559452;05 - Porto Sereno Praia;01/06/2026;22/12;22/12/1977;sim
10682;JESSICA SILVA MARTINS;41983693887;10 - Marina Brands;17/03/2024;25/06;25/06/2003;sim
10683;FERNANDA ARAUJO ROCHA;81996047428;01 - Aurora Prime;17/10/2019;26/09;26/09/2005;nao
10684;JESSICA SOUZA GOMES;48994080638;14 - Baixada Outlet;03/01/2018;23/07;23/07/1968;sim
10685;CARLOS CAMPOS GOMES;61931380673;02 - Vale Verde Brands;26/08/2025;26/04;26/04/1999;sim
10686;ALINE ALMEIDA PEREIRA;62979031377;14 - Baixada Outlet;24/12/2019;07/11;07/11/1971;sim
10687;PAULO SANTOS ALMEIDA;11993776695;09 - Capital Distrito;08/12/2024;06/05;06/05/1963;sim
10687;PAULO SANTOS ALMEIDA;11993776695;09 - Capital Distrito;08/12/2024;06/05;06/05/1963;sim
10688;LORENA NASCIMENTO CAMPOS;62944673568;05 - Porto Sereno Praia;09/07/2025;07/12;07/12/1963;nao
10689;PAULO RODRIGUES ARAUJO;48913924610 / 62957813691;09 - Capital Distrito;06/10/2026;28/09;28/09/2003;sim
10690;RAFAEL TEIXEIRA ARAUJO;62987955929;13 - Rio Claro Distrito;25/01/2025;20/06;20/06/1967;sim
10691;RAFAEL LIMA RODRIGUES;21994505784;01 - Aurora Prime;26/10/2026;;;nao
10692;CAMILA CAMPOS SOUZA;51981053086;12 - Bairro Alto Prime;09/01/2026;28/03;;sim
10693;MARCOS LIMA BARBOSA;62988563411 / 31990295540;15 - Metrô Outlet;18/05/2019;;;sim
10694;RODRIGO GOMES ROCHA;61912676250;13 - Rio Claro Distrito;12/08/2022;07/09;07/09/1986;sim
10695;FELIPE LIMA TEIXEIRA;71989816344;06 - Campo Belo Centro;26/05/2020;08/12;08/12/1986;sim
10696;CAROLINE OLIVEIRA SOUZA;81923870615 / 51994588423;15 - Metrô Outlet;18/01/2022;;;sim
10697;ROBERTA CARVALHO CORREIA;31977021228;05 - Porto Sereno Praia;03/07/2018;27/09;27/09/1996;nao
10698;HELENA ROCHA OLIVEIRA;41989366415 / 71959409895;04 - Porto Leste Aux;11/09/2019;;;nao
10699;PAULO CARVALHO CAMPOS;61987661904;15 - Metrô Outlet;25/09/2020;03/10;;sim
10700;HELENA NASCIMENTO CORREIA;11911146748;10 - Marina Brands;09/04/2021;28/01;;sim
10701;LARISSA PEREIRA ALMEIDA;31964055959;12 - Bairro Alto Prime;26/11/2018;;;sim
10702;LETICIA MELO ROCHA;47951208686;13 - Rio Claro Distrito;18/01/2019;10/10;10/10/1976;nao
10703;MARCOS SOUZA GOMES;85958437818;04 - Porto Leste Aux;11/01/2023;03/02;03/02/1972;sim
10704;ROBERTA CORREIA ALVES;11942384277;11 - Cascata Distrito;10/11/2022;08/01;;nao
10705;JULIA CORREIA BARBOSA;62945874204;13 - Rio Claro Distrito;06/09/2024;20/11;;sim
10706;MARCOS ROCHA MELO;31960686798;07 - Serra Alta Porto;08/10/2023;;;sim
10707;MARIA MELO OLIVEIRA;31931968531;09 - Capital Distrito;16/10/2019;;;sim
10708;LETICIA NASCIMENTO CARVALHO;47972546206;06 - Campo Belo Centro;20/03/2024;01/12;01/12/1984;sim
10709;MARCOS CARVALHO MARTINS;62915977602;15 - Metrô Outlet;12/06/2023;;;sim
10710;BRUNA ALVES SANTOS;41911828897;14 - Baixada Outlet;03/06/2023;15/01;;sim
10711;JESSICA SILVA CASTRO;11977525310 / 47945404769;14 - Baixada Outlet;02/03/2020;22/04;22/04/1976;sim
10712;FELIPE ROCHA CARVALHO;31996498402;15 - Metrô Outlet;12/08/2026;;;sim
10713;DIEGO CORREIA CAMPOS;11917625354 / 31936588656;13 - Rio Claro Distrito;26/04/2023;26/07;;sim
10714;JOSE CORREIA CARVALHO;31994252316;02 - Vale Verde Brands;09/01/2023;10/12;10/12/2001;sim
